source_store_name,retailer_name,store_branch_name,row_count,query,category_group_code,search_stage,validation_status,match_status,store_status,place_name,category_name,address_name,road_address_name,region_1depth_name,region_2depth_name,region_3depth_name,x,y,place_url
GS더프레시대연혁신점,GS더프레시,대연혁신점,225,GS더프레시 대연혁신점,MT1,primary_category,valid,matched,open,GS더프레시 대연혁신점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",부산 남구 대연동 1858,부산 남구 수영로 345,부산,남구,대연동,129.10352311436108,35.13991108874523,http://place.map.kakao.com/116394029
GS더프레시대전도마점,GS더프레시,대전도마점,225,GS더프레시 대전도마점,MT1,primary_category,valid,matched,open,GS더프레시 대전도마점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",대전 서구 도마동 14-4,대전 서구 배재로 206,대전,서구,도마동,127.37088905271087,36.326988381336626,http://place.map.kakao.com/9905581
GS더프레시도곡렉슬점,GS더프레시,도곡렉슬점,235,GS더프레시 도곡렉슬점,MT1,primary_category,valid,matched,open,GS더프레시 도곡렉슬점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",서울 강남구 도곡동 527-3,서울 강남구 선릉로 225,서울,강남구,도곡동,127.052673780436,37.4952118102546,http://place.map.kakao.com/11840189
GS더프레시도청신도시점,GS더프레시,도청신도시점,225,GS더프레시 도청신도시점,MT1,primary_category,valid,matched,open,GS더프레시 도청신도시점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",경북 예천군 호명읍 산합리 1277,경북 예천군 호명읍 양지2길 4,경북,예천군,호명읍,128.48028089700793,36.57762963913021,http://place.map.kakao.com/922489811
GS더프레시동소문점,GS더프레시,동소문점,236,GS더프레시 동소문점,MT1,primary_category,valid,matched,open,GS더프레시 동소문점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",서울 성북구 돈암동 609-1,서울 성북구 성북로4길 52,서울,성북구,돈암동,127.01150442703661,37.594549150779045,http://place.map.kakao.com/21312423
GS더프레시동작구청점,GS더프레시,동작구청점,225,GS더프레시 동작구청점,MT1,primary_category,valid,matched,open,GS더프레시 동작구청점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",서울 동작구 상도동 535,서울 동작구 상도로30길 40,서울,동작구,상도동,126.94388530479027,37.50403558041598,http://place.map.kakao.com/1222024576
GS더프레시동탄중앙점,GS더프레시,동탄중앙점,225,GS더프레시 동탄중앙점,MT1,primary_category,valid,matched,open,GS더프레시 동탄중앙점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",경기 화성시 동탄구 반송동 221-1,경기 화성시 동탄구 동탄중앙로 78,경기,화성시,동탄구,127.072344869959,37.193305985991,http://place.map.kakao.com/932274255
GS더프레시마산점,GS더프레시,마산점,144,GS더프레시 마산점,,manual_override,valid,matched,open,GS더프레시 마산점,,경남 창원시 마산합포구 월영동서로 20,경남 창원시 마산합포구 월영동서로 20,경남,창원시 마산합포구,해운동,128.560384446688,35.1798844844854,
GS더프레시마산회원점,GS더프레시,마산회원점,225,GS더프레시 마산회원점,MT1,primary_category,valid,matched,open,GS더프레시 마산회원점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",경남 창원시 마산회원구 회원동 50-5,경남 창원시 마산회원구 북성로 138,경남,창원시,마산회원구,128.57095312464438,35.21919868041782,http://place.map.kakao.com/16579573
GS더프레시마포상암점,GS더프레시,마포상암점,238,GS더프레시 마포상암점,MT1,primary_category,valid,matched,open,GS더프레시 마포상암점,"가정,생활 > 슈퍼마켓 > 대형슈퍼 > GS더프레시",서울 마포구 상암동 1739,서울 마포구 월드컵북로 496,서울,마포구,상암동,126.880066183766,37.5847868966019,http://place.map.kakao.com/26465372
