source_store_name,retailer_name,store_branch_name,row_count
이마트춘천점,이마트,춘천점,628
이마트충주점,이마트,충주점,587
이마트칠성점,이마트,칠성점,643
이마트태백점,이마트,태백점,532
이마트통영점,이마트,통영점,569
이마트파주운정점,이마트,파주운정점,563
이마트파주점,이마트,파주점,597
이마트평촌점,이마트,평촌점,596
이마트평택점,이마트,평택점,638
이마트포천점,이마트,포천점,504
이마트포항이동점,이마트,포항이동점,587
이마트포항점,이마트,포항점,629
이마트풍산점,이마트,풍산점,563
이마트하남점,이마트,하남점,640
이마트하월곡점,이마트,하월곡점,524
이마트해운대점,이마트,해운대점,628
이마트화성봉담점,이마트,화성봉담점,600
이마트화정점,이마트,화정점,554
이마트흥덕점,이마트,흥덕점,629
현대백화점대구점,현대백화점,대구점,564
현대백화점디큐브점,현대백화점,디큐브점,288
현대백화점목동점,현대백화점,목동점,636
현대백화점무역센터점,현대백화점,무역센터점,636
현대백화점미아점,현대백화점,미아점,614
현대백화점본점,현대백화점,본점,588
현대백화점부산점,현대백화점,부산점,564
현대백화점신촌점,현대백화점,신촌점,612
현대백화점울산동구점,현대백화점,울산동구점,564
현대백화점울산점,현대백화점,울산점,540
현대백화점중동점,현대백화점,중동점,660
현대백화점천호점,현대백화점,천호점,588
현대백화점충청점,현대백화점,충청점,564
현대백화점킨텍스점,현대백화점,킨텍스점,564
현대백화점판교점,현대백화점,판교점,561
