retailer_name,source_product_id,source_product_name,product_url,canonical_item,subtype,manufacturer_name,quantity,unit
농협몰,0039485111,꼬소당 우리쌀 버터 촉촉 소금빵 225g(3개입) 3세트,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039485111,버터,버터,꼬소당,3,개입
농협몰,0039487823,[건국유업] 건국멸균우유 200ml x 48팩(2박스),https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039487823,우유,우유,건국유업,48,팩
농협몰,0039487865,서울우유 아침에주스 미니 사과주스 100ml 30팩,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039487865,우유,우유,서울우유,30,팩
농협몰,0039488446,애경 립바이브 슈가밤 쉐어버터 인텐스 4.8g x 2개,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039488446,버터,버터,애경,2,개
농협몰,0039488529,캐리어 인버터 스탠드 냉난방기 X ESQD181XAWWSD 냉58.5㎡/43.9㎡/실외기포함,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039488529,버터,버터,캐리어,,
농협몰,0039488532,캐리어 인버터 스탠드 냉난방기 A ESQC181AAWWSD 냉58.5㎡/난43.9㎡/실외기포함,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039488532,버터,버터,캐리어,,
농협몰,0039489113,[팜프레쉬] 유기농 그릭요거트 가당 300g 1개,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039489113,버터,버터,팜프레쉬,1,개
농협몰,0039491907,[올가] [NEW]ORGA 유기농 땅콩버터 크리미 220g x 2개,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039491907,버터,버터,올가,2,개
농협몰,0039494005,[HC해피콜]버던트 티타늄 IH 계란말이팬,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039494005,계란,계란,HC해피콜,,
농협몰,0039498643,가니 A6769 099 애니멀 그래픽 버터플라이 로고 카드지갑,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039498643,버터,버터,가니,,
농협몰,0039499451,가니 A6541 943 레오파드 버터플라이 로고 카드지갑,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039499451,버터,버터,가니,,
농협몰,0039499563,가니 T3900 868 이솔리 버터플라이 로고 여성 후드티,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039499563,버터,버터,가니,,
농협몰,0039501446,팩세이프 20405138 시티세이프 CX 컨버터블 크로스백 가방 백팩 가방,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039501446,버터,버터,팩세이프,,
농협몰,0039502692,"[HC해피콜]버던트 티타늄 IH 프라이팬 5종A(프라이팬20,28,계란말이팬,궁중팬28,유리뚜껑28)",https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039502692,계란,계란,HC해피콜,,
농협몰,0039503257,매일유업 멸균 오리지널 200ml*48입,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039503257,우유,우유,매일유업,48,입
농협몰,0039504474,비비고 육즙가득 떡갈비 360g x2개+계란옷입은 고기완자 480g x2개,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039504474,계란,계란,비비고,2,개
농협몰,0039506975,"[농할가15,120원][성원] 동물복지 유정란 30구",https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039506975,계란,계란,"농할가15,120원",30,구
농협몰,0039507150,밸런스밀 프로틴바 피넛버터 34g 12입 x1개,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039507150,버터,버터,밸런스밀,1,개
농협몰,0039516242,미각기행 달콤 고소한 풍미를 가득 품은 우리밀 앙버터 호두과자 23g x10개입(파우치형),https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039516242,버터,버터,미각기행,10,개입
농협몰,0039519209,동원 양반 비빔드밥 갈릭버터 스테이크 솥밥 420g 5개,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039519209,버터,버터,동원,5,개
농협몰,0039520272,[푸른들마켓][해표] 전남신안 천일염3kg,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039520272,설탕,설탕,푸른들마켓,3000,g
농협몰,0039522830,"맛있는우유GT 멸균 초코,딸기 190ml X 24팩,48팩",https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039522830,우유,우유,맛있는우유GT,48,팩
농협몰,0039529505,[양계장사람들] 무항생제 왕란 90구,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039529505,계란,계란,양계장사람들,90,구
농협몰,0039529518,[양계장사람들] 무항생제 특란 60구,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039529518,계란,계란,양계장사람들,60,구
농협몰,0039529662,미각제빵소 버터쫀떡빵2입*4봉,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039529662,버터,버터,미각제빵소,4,봉
농협몰,0039534541,[파파에그] 실리콘 냄비 찜기 푸드팩 7PCS,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039534541,계란,계란,파파에그,,
농협몰,0039536815,찰떡아이스 옥수수 크림치즈x6+소금우유 카라멜x6,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039536815,우유,우유,찰떡아이스,,
농협몰,0039539009,"[농할가13,760원][성원] 선비란 무항생제 특란 30구",https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039539009,계란,계란,"농할가13,760원",30,구
농협몰,0039546393,백설 파스타소스 크림 3종 세트 총 6개(베이컨머쉬룸 2개+콰트로치즈 2개+트러플버터 2개),https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039546393,버터,버터,백설,2,개
농협몰,0039547875,[동원] 덴마크 대니쉬 The건강한 우유 200mL 24개,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039547875,우유,우유,동원,24,개
농협몰,0039549293,CP컴퍼니 18CMSS024A 005086W 999 다이애그널 렌즈 와펜 남성 후드티,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039549293,계란,계란,CP컴퍼니,,
농협몰,0039551988,국산 서리태 콩물 1L 2병,https://www.nonghyupmall.com/BC14010R/viewDetailPage.nh?wrsC=0039551988,우유,우유,국산,1000,ml
